Starting Material,Reference,Shot,Flyer Material,Ufp,Ufp err,rho0,rho0 err,Us,Us err,Up,Up err,P,P err,rho,rho err,TH,TH err,Phase State
Porous Enstatite,Simakov and Trunin [1973],,,,,3.040,,12.560,,6.03,,230,1,5.850,0.060,,,melt
Porous Enstatite [3.01]d,Marsh [1980],,,,,3.000,,8.195,,2.90,,71.4,1,4.647,0.046,,,Pv
Porous Enstatite [3.01],Marsh [1980],,,,,3.011,,8.192,,2.93,,72.2,1,4.689,0.047,,,Pv
Porous Enstatite [3.01],Marsh [1980],,,,,3.005,,8.183,,2.94,,72.2,1,4.686,0.047,,,Pv
Porous Enstatite [3.01],Marsh [1980],,,,,3.006,,9.083,,3.38,,92.4,1,4.790,0.048,,,Pv
Porous Enstatite [2.95],Marsh [1980],,,,,2.985,,8.446,,3.14,,79.1,1,4.748,0.047,,,Pv
Porous Enstatite [2.95],Marsh [1980],,,,,2.951,,8.933,,3.43,,90.4,1,4.791,0.048,,,Pv
Porous Enstatite [2.83],Marsh [1980],,,,,2.828,,8.626,,3.50,,85.4,1,4.761,0.048,,,Pv
Porous Enstatite [2.83],Marsh [1980],,,,,2.827,,9.086,,3.74,,96.1,1,4.806,0.048,,,Pv
Porous Enstatite [2.83],Marsh [1980],,,,,2.831,,9.124,,3.80,,98.2,1,4.854,0.049,,,Pv
Porous Enstatite [2.83],Marsh [1980],,,,,2.833,,9.162,,3.87,,100.3,1,4.900,0.049,,,Pv
Porous Enstatite [2.83],Marsh [1980],,,,,2.833,,9.286,,3.95,,103.8,1,4.926,0.049,,,Pv
Porous Enstatite [2.76],Marsh [1980],,,,,2.759,,8.905,,3.83,,94,1,4.836,0.048,,,Pv
Oxide mix,Marsh [1980],,,,,1.560,,6.164,,3.52,,33.9,1,3.641,0.036,,,melt
Oxide mix,Marsh [1980],,,,,1.570,,6.675,,3.87,,40.5,1,3.733,0.037,,,melt
